Signal,Noise,Raw
50,2.119617683,52.11961768
51.39191034,3.758253104,55.15016344
66.74295966,0.033674492,66.77663415
62.35748929,-5.646340227,56.71114906
60.10756121,3.642296124,63.74985733
59.67581644,1.766257932,61.44207437
66.18441617,-6.465859192,59.71855698
63.6826037,4.199683267,67.88228697
63.70176219,-0.855705813,62.84605638
68.16296949,2.089492235,70.25246172
70.52142373,2.449790015,72.97121375
61.47919048,2.158760687,63.63795117
55.02632392,-3.048456517,51.9778674
52.14679099,8.131288313,60.2780793
56.93140686,0.438112475,57.36951933
53.24178242,-5.544753815,47.69702861
51.01675904,2.97733053,53.99408957
47.57868838,1.961857201,49.54054558
53.51081379,0.391735305,53.9025491
57.44819512,-5.506328332,51.94186679
54.44373276,-0.084707772,54.35902499
57.13574413,-0.559381772,56.57636236
57.96678381,-7.432337763,50.53444605
54.16787979,3.081362079,57.24924187
49.69331898,-0.481022496,49.21229648
42.74833478,-2.955122973,39.79321181
39.32285773,-5.069456692,34.25340104
34.83030239,-0.170897633,34.65940476
31.68461618,2.083754172,33.76837035
38.6053725,-1.238185441,37.36718706
42.38102889,2.914921525,45.29595041
47.0910005,-2.699649805,44.39135069
55.94575907,-2.425744404,53.52001467
61.63026721,1.85745993,63.48772714
61.57212776,0.846192457,62.41832022
67.83596335,5.301785749,73.1377491
63.48168267,-0.668902256,62.81278041
70.04763602,0.502269497,70.54990552
74.55319646,0.878716076,75.43191254
81.73208811,1.898500628,83.63058874
80.78382095,6.437397786,87.22121874
80.67900925,0.41562664,81.09463589
78.38359414,-1.71947511,76.66411903
78.37993132,-1.364146103,77.01578522
86.59180727,0.261379787,86.85318706
90.79175264,-1.847686145,88.9440665
91.848446,2.302753958,94.15119996
85.57069244,-2.857757738,82.7129347
83.25495414,-5.074740246,78.18021389
86.12981472,-2.259775939,83.87003878
86.37113219,-0.650985775,85.72014641
86.97531892,-3.102950707,83.87236821
